,Category,Skills,Education,Experience
91,Company Name,"skills shared with staff: project charter, project timeline, resource allocation, issues documentation, communications technique, lessons learned, release checklist, and others.  july 2005 to december 2006 company name city , state senior management information systems analyst  developed a comprehensive map and fit-gap review and analysis of the clinical workflow and electronic medical records requirements at the different ambulatory and detention facilities in santa clara county. outcome: enhanced staff awareness of existing processes and steps needed to attain towards the future state for better clinical flow, improved inmate care and effective implementation of the electronic medical record (emr). led a cross-functional and multi-dimensional lean six sigma process improvement team composed of clinical and business staff and completed a gap analysis to streamline and expedite the operating room (or) scheduling and billing processes. outcome: bills were resubmitted and processed within the same week which improved the revenue dramatically.  december 2000 to june 2005 company name city , state program administrator  defined, managed, and owned the three year it project and program roadmap, project and features prioritization, and release strategy of the web enablement of a 20/7 statewide enterprise case management, reporting, and payment system (for over 6,000 health and human services providers from the public and private sectors) including the successful on-boarding of tenants and 300% expansion of user database with very minimal workflow interruption. outcome: public and private service providers were able to use the case management system and they were able to provide same day services to our clients in need without duplication of services. initiated and led the inclusion of hipaa guidelines, privacy rule, and it security policies to the department workflow and applications by    actively collaborating with washington state's lawyers and it security staff so that the appropriate language and/or workflow can be included and leveraged in confidentiality agreements, service level agreements (slas), vendor contracts, and online alerts/ notices, and training. outcome: 100% department compliance with regulations; staff were comfortable with the tool.  ","education de la salle university  guidance & counseling ms guidance & counseling assumption college  psychology bs psychology agile management, uc berkeley extension; advanced project management program, stanford university (scpm); project management, san jose state university certified lean six sigma black belt in lean six sigma quality and operational excellence, harrington institute certified scrummaster (csm); certified scrum product owner (cspo), scrum alliance foundation certificate in it service management v2, itil, exin project management professional (pmp), pmi; certified professional in health information management systems, (cphims), himss skills streamline, agile, billing, case management, contracts, clients, customer services, database, dictation, documentation, electronic medical records, features, functional, health and human services, help desk, imaging, information technology, itil, materials management, exchange, enterprise, network, organizational, policies, processes, process improvement, project management, quality, reporting, san, scheduling, scrum, six sigma, service level agreements, strategy, surveys, workflow   ","experience january 2011 to current company name city , state assistant information technology (it) director  led the organization towards eligibility in the ehealth exchange information network which will allow the county providers to exchange patient information with other federal agencies non- federal organizations through a secure, trusted, and interoperable network. completed detailed survey of the county's privacy, security, confidentiality, and information exchange policies as part of the onboarding process and execution of the data use and reciprocal agreement. facilitated the processing of the entrust subscriber agreement (public certificates and keys) documents. outcome: upon submission of the application, the ehealth exchange committee awarded the county immediately as ""eligible"" to participate in the ehealth exchange network due to the comprehensiveness documentation. accelerated the organizations participation in nationwide quality efforts and maturity surveys energizing our staff, enhancing the organization's status, and improving customer services in the process. outcome: application and review processes were expedited. organization was awarded stage 6 maturity (from stage 2) for electronic medical record (emr) adoption in less than 3 months.  january 2007 to december 2010 company name city , state it supervisor  executed the enterprise information technology strategy and worked closely and partnered with the health services cio and stakeholders (clinical, business, detention) to establish project and program governance, understand and document the business needs, advocate effective application deployment strategies, and develop high level project road maps. outcome: clear project prioritization throughout the enterprise which addressed limited resource issues. sample projects: appointment reminder system, document imaging system, timekeeping system, wristband id deployment, dictation system, materials management. supervised, led, coached, and mentored approximately 12 - 25 application support and project management staff in all phases of the it operations and project lifecycle using lean and agile project management methodologies. outcome: stronger project visibility and customer relationships; maturity in terms of organizational project management and service management methodologies; expedited help desk ticket resolution minimizing project risks. sample project-related "
92,INFORMATION TECHNOLOGY,"skills web application design working independently html leadership adobe acrobat professional it governance adobe photoshop requirements gathering adobe dreamweaver software development life cycle windows server 2008 principles (sdlc) windows server 2012 project management active directory system administration sql help desk administration microsoft office database design sap business objects/web intelligence microsoft sharepoint asp.net, business operations, c++, database development, disaster recovery, forms development, grants development, html, computer support, marketing materials, microsoft access, microsoft sql server, oracle database, pl/sql, personnel management, purchasing, report writing, requirements gathering, sql, strategic planning, user manuals, training materials, troubleshooting, upgrade, web development, workflow  ","education master of science : management information systems , may 2003 university of illinois - city , state management information systems bachelor of science : information and decision sciences , may 1995 university of illinois - city , state information and decision sciences skills asp.net, active directory, adobe acrobat, adobe dreamweaver, adobe photoshop, application design, arts, billing systems, business objects, business operations, c++, client server, strong communication skills, hardware, crystal reports 9, databases, database development, database development, database design, disaster recovery, forms, frame, functional, government, grants, help desk support, help desk, html, computer support, leadership, marketing materials, microsoft access, microsoft office, microsoft sharepoint, windows, migration, oracle database, pl/sql, personnel, personnel management, police, profit, project management, purchasing, report writing, reporting, requirements gathering, sap, sdlc, servers, software development, microsoft sql server, sql, strategy, strategic planning, system administration, user manuals, training materials, troubleshooting, upgrade, visual basic, web intelligence, web development, windows server, workflow affiliations quality-driven information technology manager with over 10 years experience aligning business systems with business policies and guidelines while managing it support and application development operations. looking to bring strong management, analytical and problem-solving skills to an industry-leading technology company.   ","experience information technology manager  april 2005 to current company name - city , state  managed computer support staff of college serving over 150+ employees responsible for planning and implementation of major modifications/upgrade to the entire computing environment of the college involved in it governance efforts of the campus to develop infrastructure and security policy overseen help desk support which included troubleshooting hardware, software and windows servers managed multiple "
93,INFORMATION TECHNOLOGY,skills  enterprise platforms knowledge of product lifecycle management (plm) project tracking hardware and software upgrade planning product requirements documentation self-directed ms visio decisive collaborative domain active directory layout data storage engineering  information assurance risk management framework (rmf) active directory design and deployment workstation build and deployment systems accreditation packages red hat enterprise linux installation and hardening network design & troubleshooting â high performance computing  ,"education and training associate of science : electronic engineering 1980 florence darlington technical school , city , state electronic engineering.â â  dean'sâ list for high gpa.â  class president for second year skills  active directory hardware engineering information technology red hat enterprise linux servers ms windows servers ms windows desktop network design & troubleshooting architectural diagrams accreditation boundarys risk management enterprise strategies vendor relations desktop publishing software: photoshop, illustrator, html team work    collaboration   ","experience company name city , state information technology 02/2011 to current i was hired to manage accreditation efforts for a major department modernization project involving 3 accreditation packages each leading to successful authorization to operate decisions. responsibilities then increased to include all departmental accreditation efforts leading to another 3 successful atos. now, working on 4 new accreditation including re-authorization for an existing project. succeeded in writing and implementing vulnerability management for existing accredited systems. success of the accreditation hinged on coordination with oni enterprise in critical design decisions and to help the program integrate smoothly into the enterprise thru many meetings, analyzing the enterprise business model to understand the best fit for the program. the different "
94,INFORMATION TECHNOLOGY,skills optimizing and performance tuning document management web content management  ,"education and training bachelor of science : information technology , july 2016 university of phoenix  information technology[number] gpa  skills  act!, adobe, acrobat, after effects, photoshop, premiere, apache, branding, business processes, c++, cisco, hardware, consultant, consulting, css, client, clients, database, dell, disaster recovery, document management, documentum, dreamweaver, email, erp, features, fireworks, flash, freebsd, graphic designer, hp, html5, ibm, illustrator, indesign, information systems, information technology, ms iis, internet communications, java, javascript, languages, linux, logo, mac, apple mac, marketing, market, access, ms access, ms exchange, ms office, office, ms project, microsoft windows, migration, multimedia, mysql, network, networking, operating systems, os, os 7, oracle, developer, php, policies, print advertising, print design, progress, project management, purchasing, quality, express, red hat, robotic systems, sage, servers, ms sql, systems administration, user training, technical documentation, unix, upgrades, microsoft visual basic, website design and development, web designer, web design, webmaster, workflow, written, xml   ","experience. proven ability to successfully implement technology solutions, stay within time and budget constraints, and improve efficiency through proper risk management, task coordination, and resource utilization. core competencies project management systems / network reporting proposal development web design & development sop & policy writing systems & process consulting document management technically-advanced information technology specialist successful in software administration and data communications.experienced computer systems analyst with diverse industry experience in banking, healthcare, insurance and government. professional expertise includes systems applications, disaster recovery planning and information protection analysis.  "
95,INFORMATION TECHNOLOGY,"skills administrative duties, adobe acrobat, schedule appointments, asset management, agency, attorney, balance, basic, billing, billing system, cashier, catalog, com, computer repair and upgrade, hardware, council, credit, crm, client, clients, data entry, database, debit, delivery, fast, financial, information technology, inventory, laptop computers, law, legal, legal documents, marketing, materials, access, microsoft certified systems engineer, microsoft excel, ms excel, excel, office, outlook, powerpoint, ms windows, windows 2000, 2000, ms windows xp, ms word, network setup, network, notary public, order office supplies, organizational, peripherals, personnel, printers, profit, programming, quality control, receptionist, reporting, routers, scheduling, servers, sims, software engineering, install software, spreadsheets, spreadsheet, sql, system administration, telecommunications, phones, phone, answer phones, troubleshoot, troubleshooting, upgrade, vista, visual basic, visual basic programming, written   ","education and training.) answered phones. data entry of new enrollments and materials assigned to each. reported inventory and distribution of student classroom materials data to cfo on a monthly basis. developed complex spreadsheets to analyze qualitative and quantitative data using excel and visual basic. published & updated student policy catalog. responsible for protecting students' privacy when records were requested by third parties. managed course scheduling for all 25 schools as well as all student records and transcripts. reviewed feedback from potential students after first visit to school for quality control purposes. maintained records of complaints. collaborated on written responses. accomplishments: saved company over $4 million by strengthening controls on textbook inventory.    developed system of student records collection and storage electronically on company database through collaboration with programmers. created process and form for third-parties to request student records in accordance with ferpa (federal education right to privacy act). managed the class schedules in all 25 schools using ms excel advanced formulas and visual basic programming.  information technology coordinator , 05/1996 to 05/2001 company name ï¼​ city , state  responsible for installation and troubleshooting windows 2000 workstations, hardware, printers, peripherals, and software. managed telecommunications system administration, programming, and troubleshooting. trained brokers and new employees on system and applications. processed stock certificates and checks for deposit into respective client account. answered main phone and directed calls to requested personnel. supervised operations staff of two cashiers and one receptionist. maintained records for annual audits and sec regulation compliance. resolved trade errors committed by brokers. balanced error accounts for all branches. earned series of fast-track promotions from new accounts clerk, lead cashier, operations manager, to it coordinator. entrusted with maintaining accuracy and credit/debit balance of millions of dollars in client accounts. became primary technical troubleshooter and ""go to"" person for entire lutherville branch (93 work stations) as well as 6 remote satellite offices.  education certificate of completion, microsoft certified systems engineer training, computertraining.com : january 2002 b.s : business finance , january 1991 towson university ï¼​ city , state business finance maryland notary public (commission expires august 26, 2018) microsoft certified systems engineer : february 2002 ","experience information technology consultant , 12/2009 to 02/2016 company name ï¼​ city , state  basic computer network setup and troubleshooting. install software and printers. computer repair and upgrade for individuals. microsoft excel spreadsheet creation. "
96,VICE PRESIDENT,"skills    software: active directory, microsoft exchange, hp insight manager, emc avamar, symantec ghost, languard network security scanner, voltage email encryption, websense, quest archive manager, ms project, symantec backup exec, microsoft iis, sharepoint, ca arcserve, barracuda spam firewall, blackberry enterprise server, sophos anti-virus, trend micro anti-virus, bradford networks network sentry, vmware, hyper-v, barracuda backup, barracuda web filter, cisco call manager, cisco uccx, exact target, cvent. hardware and networking: cisco firewalls, cisco routers, cisco switches, checkpoint firewalls, hp procurve switches, meraki wi-fi, cisco wi-fi, hp proliant, dell poweredge.   ","education m.b.a : dec. 2007 university of massachusetts ï¼​ city , state  b.s : real estate , may 1994 arizona state university ï¼​ city , state ","experienced in building technology organizations that make it a strategic partner of the company. creates it competitive advantages in capability and scale by leveraging best-in-class infrastructures. highly experienced in building, improving, and turning around it organizations.  skill highlights it strategy it management project management business intelligence cloud computing sox, hipaa, glba  team building enterprise platforms business continuity disaster recovery budgeting/cost control it infrastructure  professional experience vice president, information technology  november 2012 to current company name ï¼​ city , state  represent information technology as a member of the senior leadership team with oversight of all tactical and strategic aspects of corporate it systems. manage and lead six-person team that oversees all it infrastructure and business intelligence operations at one of the largest united ways in the nation ($38m revenue). responsible for $1m annual it budget including staffing, operations, purchasing, and vendor management with an emphasis on cost savings and value-based solutions. engineered strategic evolution of salesforce crm with the implementation of email marketing, event registration, credit card purchasing, and volunteer management systems. designed and executed it portion of corporate headquarters move to a new 64,000 sq. ft. building with zero downtime. oversaw the creation of a dedicated, it business intelligence group and structured development environment in strategic support of crm, data warehouse, and financial reporting systems. technology engineering and support of 2-1-1 call center that processes 100,000 to 150,000 calls per year (50% of colorado's statewide 2-1-1 calls). recovered tens of thousands of dollars per year by consolidating and renegotiating it contracts, implementing infrastructure lifecycle management, standardizing pc and server o/s images, utilizing refurbished equipment, and implementing virtualization technologies. implemented company's first comprehensive monitoring and metrics of application, network and server availability/performance. responsible for mission critical support of all computer, network, and telecom infrastructure including 175 windows 7/8 workstations and 35 windows 2008/2012 servers. team maintains over 99.9% uptime for all mission critical hardware and software platforms.  director, it infrastructure  march 2008 to november 2012 company name ï¼​ city , state  directly responsible for mission critical support of all computer, network, and telecom infrastructure including 800 windows xp/windows 7 workstations and 160 windows 2003/2008 servers at 28 treatment centers, five operations offices, and two co-location facilities. as the strategic and technical it lead, built, manage, and backup eight person team including network engineer, system administrator, help desk manager and it support specialists. responsible for all new hire and terminate activities, staff scheduling, mentoring, and reviews. consistent record of delivering major it "
97,Career Overview,"skills business process management superior organizational, interpersonal, and advanced level hardware and software time management testing effective listening and communication content management systems skills mobile application development troubleshooting and problem solving accurate customer needs assessment proficiency exceptional telephone etiquette intelligent project management vast technical knowledge and experience ","education software, systems and databases. worked with clients to analyze computing inefficiencies, then recommended and implemented appropriate technologies that fit within the school district's budget. maintained composure and patience when faced with difficult customer situations. assisted in migrating from a novell network to a microsoft active directory environment on windows server 2008. shared the task of re-imaging 3000 computers with a self-created, custom built windows 7 professional to complete an operating system migration from windows xp.    education and training 1 2012 minnesota school of business ï¼​ city , state , united states associate of applied science computer science computer science information technology aas with application development android, c++, c#, java, php, sql and visual basic development business management and development microsoft network administration microsoft office 2010 information technology internship   ","experience in business operations, infrastructure management, software/hardware support, high/low end pc and microsoft server administration, and software development. core strengths excellent critical and analytical "
98,ASSISTANT FOOTBALL,"skills. seeking a career in the business field. highlights exceptional interpersonal communication skills, customer service skills, management skills, teamwork skills, effective leader, organized, highly dependable, fast learner, able to work under pressure, positive attitude and energy, strong work ethic ","education bachelor of science : management utica college ï¼​ city , state , us utica college utica, ny bachelor of science may 2014 major: management concentration: marketing gpa: 3.37/4.00 military experience company name salvation army volunteer neighborhood clean-up north utica youth football volunteer professional affiliations utica college football skills audio visual, games, coaching, customer service, fast learner, receptionist, retail sales, landscaping, maintenance, marketing   ","experience 03/2014 to current assistant football coach company name ï¼​ city , state  assist in the design and execution of the offensive scheme for 60+ athletes including 20 wide receivers prepare field with all of the necessities for practices and games  09/2010 to current property maintenance assistant company name ï¼​ city , state  distribute media equipment to classrooms instruct professors through the application of microsoft and internet services answer phone calls and maintain an organized office for students and professors to enter freely performed various maintenance duties necessary to maintain and enhance the value of residential and commercial properties duties included: mowing, landscaping, sealing driveways etc.  "
99,IT SUPPORT,skills sharepoint cisco telephony tools bomgar visio que monitoring  sap active directory mobileiron hpsm ios  activites  captain- 4-years of collegiate basketball active member of s.w.a.t. (student website advancement team) active member of the it student academic advisory council  over 100 hours of community service - secret santa - reading books at over 5 grade schools - volunteered in over 5 â   summer camps - participated in salvation army food drive -yearly donator good will/ homeless shelters â   honors and ,"education bachelor of science may 2014 william woods university city , state gpa: gpa: 3.4  management information systems gpa: 3.4  ","experience in network/hardware/operating system troubleshooting, web page design, pc assembly, technical support,and customer service. analytical helpdesk technician adept at resolving complex issues. critical thinker who addresses customer support issues quickly and who consistently exceeds performance standards.  experience it support technician 12/2014 to current company name city , state  provide technical assistance and support for incoming queries and issues related to computer systems, software, and hardware. respond to queries either in person or over the phone. vast troubleshooting capabilities with ios. train computer users maintain daily performance of computer systems. process an average of 15-20 inbound and outbound technical support calls daily  network assistant intern 01/2014 to 05/2014 company name city , state  assisted university network administrator with daily tasks including  wireless, vdi, patchwork  network infrastructure, hardware management, and server room operations.  technology assistant intern 08/2013 to 05/2014 company name city , state  maintained 489 page university website managed and completed daily work orders for university help desk attended weekly administrative technology meetings relating to technology problems/solutions. managed/deployed hardware and software to student body as well as faculty.  "
100,INFORMATION TECHNOLOGY,"skills asp.net 4.5, asp.net, vb.net, active directory, backup, budget, contract negotiation, crm, data analysis, data processing, databases, disaster recovery, etl, edi, itil, training, executive management, senior management, goldmine, information security, healthcare it, it support, leadership, marketing, network analysis, performance reviews, voip, presentations, process enhancement, product development, servers, sql, sql server, strategy, desktop support, visual studio, workflow military experience electronics technician 07/1997 to 07/2001 company name city , state deployed and maintained cat5 and fiber optic cable. directed and trained subordinate technicians. â configured 5 stations with cat5 and fiber optic cable. â conducted quarterly and annual formal performance reviews for all subordinates. â installed windows nt system on more than 400 computers. earned good conduct and sharpshooter awards.   ",education    information systems 2014 park university gpa: 3.5 bachelor of science : management 2007 park university magna cum ladue gpa 3.82 ,"experience, 8 years of supervisory experience. passionate about collaborating with key stakeholders to develop information technology vision and strategy by effectively building organization, processes, infrastructure and services in support of short and long-term business needs. understands the business value of available tools and applications as to provide optimal strategic benefit at the appropriate cost. skill highlights  it governance team leadership systems integration  contract negotiations disaster recovery plans it operations  core "
101,INFORMATION TECHNOLOGY,"skills in organizing, problem solving and project management. ready to apply experience and abilities to take on new professional challenges.  passionate and driven professional with remarkable analytical and problem solving skills.  expert quality assurance tester offering five years of experience in detailed technical and system specifications.  provides a collaborative style and has well-developed communication skills. seeking a role in test reporting and defect resolution.  well-rounded team player with dynamic written and verbal communication skills.  hardworking and resourceful team player.  history of going above and beyond to achieve notable results.  offering excellent blend of technical aptitude and creative ability. inspires design teams with engaging management techniques and innovative thinking. resourceful technical support engineer polished in restoring system functionality by quickly assessing and resolving diverse hardware and software problems.  skills issue escalation reporting and analysis quality control schematic understanding critical thinking data management network administration experience in leadership improvement plan knowledge supervision hardware repair computer configurations system upgrades new program installations organizational leadership troubleshooting and maintenance equipment repair power and hand tool use troubleshooting and repairs preventative maintenance telecommunications systems component repairs multitasking part inspections friendly, positive attitude lan and wan configurations  server and system administration end-user training program installations software testing server improvements data backups project management security technologies network configuration time management active directory knowledge cybersecurity analysis system administration microsoft office ms office apple ios technician help desk assistance application software testing mechanical abilities information systems security professional advanced knowledge of windows os advanced knowledge of google chrome os soldering database management technical knowledge of server system softwares servers, storage systems, network equipment, pcs or notebooks of any brands.  experience information technology specialist(discountpcfix) | 11/2011 - current company name - city , state  assisted client with new computer and network equipment purchases. updated or installed software for customers to ensure computer efficiency. checked in computers and performed diagnostics for repair. backed up data each evening, helping alleviate lost information following malware incident. updated software versions with patches and new installations to close security loopholes and protect users.    identified hardware issues caused by component failures using approved diagnostic tools. installed over motherboards, processors and graphics cards. configured computers to network drivers and connected to printers and other peripheral equipment. upgraded laptops/desktops, improving speed and performance. fixed all apple(iphone,imac,ipad,laptop) products screen damage. fixed any brand,windows os,mac os,chrome os products liquid damage. observed system functioning and entered commands to test different areas of operations. explained technology-related details in easy-to-understand terms to individuals from all walks of life and in various job positions. responded to assistance requests from users and directed individuals through basic troubleshooting tasks. reviewed current hardware and software configurations and recommended modifications to increase system speed. serviced and repaired equipment according to manufacturer guidelines. installed new systems and components according to service orders and manufacturer instructions. assessed and identified issues and quickly resolved to restore functionality. built and repaired computers according to schedule. installed, configured, and setup pcs in all stores for optimal operation and reporting. evaluated interfaces between hardware and software, testing performance requirements. studied complex technical issues and determined proper resolution methods. assisted with post-implementation troubleshooting of new applications and application upgrades. determined and alleviated hardware, software and network issues. installed and supported hardware and software, including desktops, servers and printers. identified operational and performance issues and worked with managers to resolve concerns. completed various reports and analyzed each report to decide where improvements could be made. recommended process and systems improvements such as changes to operations. updated hardware and software upon availability and supervised network to eliminate bottlenecks immediately. handled network configurations after hours and on weekends to alleviate downtime and maintain smooth operations. assisted customers with various types of technical issues via email, live chat and telephone. delivered local and remote tier 1 it support for hardware and software to company personnel. disassembled computer systems to troubleshoot and resolve hardware issues. increased overall company performance through improved it uptime and cost reductions.  quality control inspector contractor | 04/2019 - current company name - city , state  conferred with scientific, engineering and technical personnel to resolve design, research and testing problems. worked with engineers to facilitate research and development testing, correct mechanical failures and generate technical specifications prior to release. developed and implemented best practices for defect prevention and continuous improvement. used specialized tools to take precise measurements of various aspects of samples. consulted with engineers to resolve quality, production and efficiency problems. wrote detailed reports outlining performance, quality and defect rates. completed non-destructive tests and visual inspections on a continuous basis. inspected quality of finished products, making minor repairs to meet project expectations. documented nonconformities immediately and recommended techniques for prompt resolution. completed non-destructive tests and visual inspections continuously. reviewed drawings and blueprints to determine appropriate level of inspection required. adhered to all safety protocols to minimize equipment damage and avoid injuries. assessed materials, parts and products for conformance with quality control requirements and production specifications.  network analyst | 06/2016 - 05/2018 company name - city , state  identified operational and performance issues and worked with managers to resolve concerns. supporting of the following hardware types: servers, storage systems, network equipment, pcs ipad and notebooks of any brands. analyzed operational performance to identify pain points and provided actionable solutions to management. educated personnel on company policies to foster improved customer retention and increased revenue. technical knowledge of standard server system software (linux, windows, vmware) drove revenue and customer retention by visiting corporate and franchise centers serving clients to educate staff on company policies and customer styling applications. wrote reports outlining results to facilitate management decision making. executed and monitored standards for user interfaces, page design and graphics development. provided senior technical support to both in-house staff and user departments for all network applications. monitored project budget through the careful assessment of resource usage and task management to ensure that costs were kept low. supported customers with password resets and account customization. recorded complaints, product deficiencies, returned orders and other customer documentation in system. supported customers having data connectivity issues, assisting with troubleshooting steps and rebooting of hardware. maintained composure and patience in face of difficult customer situations, applying de-escalation techniques and positive customer support. performed site evaluations, customer surveys and team audits. promoted continuous improvement for it governance processes.    spearheaded server infrastructure development, quality control, staging and production operations.  quality control manager | 07/2013 - 08/2015 company name - city , state  stayed well-informed of all company and federal regulations, which bolstered compliance of all corporate processes. used creative and professional policy to find solutions to issues while diminishing conflicts. handled all scheduling procedures for the department and directed team members in setting and achieving goals. observed customer specifications by monitoring the quality control of finished products.  ","education and training the federal polytechnic, ado-ekiti - city , state | associate of science science technology , 2003 phoenix east aviation - city , state | f.a.a aircraft dispatcher license aviation , 2014 university of colorado at boulder - city | certificate cybersecurity policy for aviation and internet , 07/2020 google i.t support - city | certificate 03/2021  completed professional course in:  it security: defense against the digital dark arts  operating system and you: becoming a power user  the bits and bytes of computer networking  system administration and it infrastructure service  technical support fundamentals   ","experience.  highly articulate capable experienced installing and updating hardware and software systems for users. known for effectively optimizing systems to meet changing demands, enhancing collaboration and improving security.  experienced operations analyst with first-rate "
102,STAFF PHARMACIST,"skills with a track record of establishing positive relationships with customers, co-workers, medical professionals, and insurance providers. enthusiastic about acquiring new clinical knowledge and experience in a hospital setting.  committed to providing highest quality pharmaceutical services and personal patient care as an essential link in disease management. dedicated to deliver peak performance as well as fast and accurate medication dispensing. capable and able to demonstrate versatility in adapting to every- increasing complexity in the healthcare industry.  highlights strong diverse science background strong academic skills strong decision-making ability prescription dispensing and compounding drug interaction assessment clinical interventions product safety and quality assurance exceptional patient care proficient with software (word, excel, powerpoint, access) ability to identify and solve potential problem  high personal and professional ethics creative cognitive skills pharmaceutical research and data analysis efficient and accurate exceptional attention to details excellent telephone etiquette ability to listen and communicate in a articulate manner high level of organizational and personal skills customer and coworker relationship management on a personal level  ","education 2002 doctor of pharmacy : pharmaceutics massachusetts college of pharmacy and health science ï¼​ city , state , usa  clinical rotations at :  beth israel deaconess medical center (infectious disease), boston children's hospital (center for poison control and prevention), beverly hospital (inpatient and ambulatory care), boston dialysis center .  1992 master of science : hardware engineering university of information technology, mechanics and optics ï¼​ city russia ",experience providing outstanding pharmacy services in a high-volume setting. strong background in science and clinical pharmacology and excellent interpersonal 
103,AMC COMPUTER,skills exceptional listening and perception skills excels in writing information technology sme timely efficient test and evaluation expertise leadership management project management conflict resolution  cobol programming ada programming procurement clerk bpa's acquisition experience cor formal briefings  ,"education bachelor of arts , business admin and management january 2016 pillar college ï¼​ city , state , usa  i am currently a full-time student maintaining a 4.0 gpa in an accelerated program. i have completed the following classes: organizational management, business management, business communications and theology.  security-plus certification microsoft certified professional (mcp) , computer software 2006 ced solutions ï¼​ city , state , usa  i have earned, maintained and utilized my security plus certification.  defense acquisition university training course completion: acq 1 01, 1 30 & 201; samjoj , cle 003 & 060, acq 2036 army civilian training, education development and system courses moving from technical professional to management project information technology management information assurance fundamentals (iaf) introduction to project management , acquisition workforce 2015 defense acquisition university ï¼​ city , state , usa  i will acquire my information technology level 3 certification in november 2015.  ","experience launching environments focused on telecommunications concepts, principles methods, practices and solutions. savvy, compassionate, impact oriented performer with attention to detail, technological know-how, and lifecycle project planning expertise. successfully manages accounts while analyzing technical requirements to ensure client and customer satisfaction and enterprise integrity. consistently develops innovative and workable solutions to unique customer requirements. an effective it manager with a proven track record for building highly productive teams with healthy morale. promotes security awareness ensuring sound security principles are implemented.  highlights strong interpersonal "
104,INFORMATION TECHNOLOGY,"skills adabas, aix, analyst, application development, budgeting, business solution, cisco, coaching, databases, database, department of health, direction, documentation, edge, english, forecasting, frame relay, ibm, db2, information technology, innovation, leadership, linux, notes, mentoring, exchange, office, sharepoint, microsoft windows, enterprise, network, networking, networks, operating systems, os, oracle, performance management, personnel, phd, pr, process improvement, programming, project management, rehabilitation, relational databases, scada, supervisory control and data acquisition, servers, software development, spanish, sql, staff supervision, supervision, system analysis and design, technical management, telecommunications, tivoli, track-it, visio, water treatment   ","educational and advanced enterprise related technology solutions. a strong, decisive leader who leads by example and hardworking professional focused on results and details. â fully bilingual in english and spanish.  core ","experience directing and managing large and complex it operations and data center. resourceful thinker, methodical problem solver, and analytical in all facets of technical management. proficient at "
